fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230918 123649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3683	TRUE	540187	0.024933564752806	0.626423709448427	2829	608	9234	425670000	1
20230918 124718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	652	TRUE	540187	0.199619188820827	0.652255523055792	1890	513	9726	464765000	2
20230918 125807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1035	TRUE	540187	0.243776984570664	0.373269919492304	2435	346	7896	409815000	3
20230918 131015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1407	TRUE	540187	0.147228799024131	0.281760816499591	4164	903	10564	460040000	4
20230918 132615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1679	TRUE	540187	0.171778290686081	0.555708500631154	5780	133	8129	406245000	5
20230918 135118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2438	TRUE	540187	0.0670801261317683	0.904342863010243	5353	386	12911	508270000	6
20230918 140157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1143	TRUE	540187	0.267271371265873	0.444918986782432	6805	992	11807	482965000	7
20230918 141120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1020	TRUE	540187	0.239798706426169	0.433485417999327	7626	455	6508	319865000	8
20230918 142047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	952	TRUE	540187	0.161376236172277	0.251011499147862	1134	317	11246	506765000	9
20230918 143033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1124	TRUE	540187	0.0865364695250755	0.71518608475104	3878	238	6246	323365000	10
20230918 144147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1332	TRUE	540187	0.0526449790757615	0.971127401776612	4759	857	8879	375515000	11
20230918 145153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	701	TRUE	540187	0.121477756557055	0.576283524660394	717	771	10311	499030000	12
20230918 151820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3907	TRUE	540187	0.0699556685602292	0.925891144108027	1380	71	14518	560595000	13
20230918 152324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	684	TRUE	540187	0.292512167825131	0.786666539572179	6415	64	12112	464310000	14
20230918 153203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1026	TRUE	540187	0.192120588600636	0.748983688876033	4908	966	5768	303485000	15
20230918 154049	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1110	TRUE	540187	0.109145412670099	0.208764171954244	6006	786	7014	303450000	16
20230918 154946	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	787	TRUE	540187	0.276525029479293	0.482716150796041	2379	621	13594	537950000	17
20230918 155718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1007	TRUE	540187	0.135147603349178	0.873395989080891	7454	688	14036	488635000	18
20230918 160140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	540187	0.225888465173193	0.831576245995238	168	559	5301	303100000	19
20230918 173422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9802	TRUE	540187	0.012200520993094	0.327644476527348	3389	201	13312	499590000	20
20230918 173931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	358	TRUE	540187	0.100534911009519	0.744557899103547	1	724	14295	415975000	21
20230918 174128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	336	TRUE	540187	0.100044630232159	0.999356279271156	3966	16	14746	378665000	22
20230918 175402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1695	TRUE	540187	0.0752229882178399	0.792978413377079	1479	143	13371	544250000	23
20230918 181120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2256	TRUE	540187	0.107867777140924	0.356293879507237	1636	76	14381	536900000	24
20230918 181203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	540187	0.261797193629031	0.995602105218641	1505	16	14275	346395000	25
20230918 182658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2675	TRUE	540187	0.0102328735359811	0.904145390740181	1274	29	14429	392665000	26
20230918 183509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1080	TRUE	540187	0.173238185301605	0.831823957845569	7130	243	10020	431900000	27
20230918 185923	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1662	TRUE	540187	0.0718913922757313	0.865712732309274	1073	336	14284	598920000	28
20230918 191301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1644	TRUE	540187	0.0706783500112324	0.843018198317898	284	280	10912	524790000	29
20230918 192859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1564	TRUE	540187	0.0732373197533037	0.886989195527036	2378	468	14441	550760000	30
20230918 200327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2251	TRUE	540187	0.0664919842306715	0.446975134819805	870	315	15000	611800000	31
20230918 201201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	847	TRUE	540187	0.130270306201754	0.307165996396859	531	263	14996	576555000	32
20230918 201743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	624	TRUE	540187	0.298448827035817	0.201183813138561	3213	937	13285	493045000	33
20230918 203323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1693	TRUE	540187	0.071401397504901	0.200907037786563	772	303	14993	572110000	34
20230918 210539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2210	TRUE	540187	0.06327990314604	0.728580769325782	910	337	14997	619955000	35
20230918 213316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2416	TRUE	540187	0.052089353612795	0.442443752705796	1466	321	14998	588875000	36
20230918 213957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	548	TRUE	540187	0.142006480749804	0.796643066270735	1452	421	14975	561015000	37
20230918 221413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4355	TRUE	540187	0.0328793999270873	0.290336704238671	7973	295	14999	481915000	38
20230918 221507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	540187	0.134838103203688	0.551348042965637	20	16	12550	298830000	39
20230918 222504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1079	TRUE	540187	0.157542144504214	0.26234661839498	2545	441	14997	547155000	40
20230918 224316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1839	TRUE	540187	0.0631898808770694	0.626558336058279	853	286	14294	595770000	41
20230918 225533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1333	TRUE	540187	0.0697370668798627	0.740471571277158	866	253	14996	595035000	42
20230918 230709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1107	TRUE	540187	0.118555954958265	0.284069824975082	1090	372	14992	580510000	43
20230918 231808	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1009	TRUE	540187	0.13646196505109	0.265351562631961	416	565	14994	595910000	44
20230918 233305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1278	TRUE	540187	0.142174239076585	0.429535653253389	1226	822	14993	595070000	45
20230918 234446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1071	TRUE	540187	0.156613982279102	0.901197070160936	1501	766	14996	592795000	46
20230919 000420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2347	TRUE	540187	0.0648834543337182	0.341356490436843	1872	111	15000	537320000	47
20230919 003144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1864	TRUE	540187	0.0600897097086731	0.844362414017774	810	352	14994	621390000	48
20230919 004159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	824	TRUE	540187	0.139220845409474	0.882920871546768	1429	1022	14982	587020000	49
20230919 010311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1547	TRUE	540187	0.0591660356983667	0.405809174737606	220	648	14998	614075000	50
20230919 014025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2268	TRUE	540187	0.0612326205077648	0.476698506737186	106	452	15000	622440000	51
20230919 015409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1280	TRUE	540187	0.129809778198741	0.324004126674196	1686	554	14994	574910000	52
20230919 015654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	540187	0.142520318193397	0.998011182261469	32	792	14993	489230000	53
20230919 020728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	975	TRUE	540187	0.154254319353236	0.708033087816497	1739	1020	14989	583345000	54
20230919 024159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2260	TRUE	540187	0.0622483927851211	0.381191555095382	48	428	14991	622510000	55
20230919 031630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3174	TRUE	540187	0.0302624613905683	0.274563829212962	10	581	14994	615790000	56
20230919 034042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2076	TRUE	540187	0.0375128182200912	0.327161848106662	8	613	13839	595315000	57
20230919 042134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3373	TRUE	540187	0.0316476515847722	0.351565983911373	124	938	15000	622160000	58
20230919 044523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1809	TRUE	540187	0.0345370125142992	0.391226691387733	17	746	14997	611275000	59
20230919 051148	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2146	TRUE	540187	0.0339150156308457	0.201122473675878	52	904	14992	601510000	60
20230919 072952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7263	TRUE	540187	0.0175266811265277	0.308015337711107	216	922	14975	623455000	61
20230919 102042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8161	TRUE	540187	0.0249075824196375	0.320768265934417	1342	905	14986	600705000	62
20230919 112442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2484	TRUE	540187	0.0222333296567516	0.324385062160948	2	1022	14931	608370000	63
20230919 114153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1197	TRUE	540187	0.168799511179063	0.873057241160659	3671	1017	14999	572915000	64
20230919 131811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7202	TRUE	540187	0.0100421684812002	0.302423299056345	2	657	14997	617155000	65
20230919 144054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	6340	TRUE	540187	0.0101644728380108	0.292256326244029	7	868	14253	598570000	66
20230919 145932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1268	TRUE	540187	0.0473413565669864	0.334782262163738	2	913	15000	592760000	67
20230919 151851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1464	TRUE	540187	0.0638252939136696	0.419917300727162	457	450	14496	601895000	68
20230919 153022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1022	TRUE	540187	0.179716921119247	0.798878044241001	1663	598	14995	596715000	69
20230919 153916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	724	TRUE	540187	0.185267471985069	0.362830837794606	58	708	15000	5.95e+08	70
20230919 154807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	627	TRUE	540187	0.216290526435931	0.454566141653911	1230	749	15000	575680000	71
20230919 155246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	338	TRUE	540187	0.206744223737468	0.200692843890118	418	679	13387	527625000	72
20230919 160518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	980	TRUE	540187	0.164739914045278	0.458344451679452	659	616	14996	606235000	73
