Feature	Gain	Cover	Frequency
ctrx_quarter	0.0792730594598623	0.00710611365234589	0.00653373009504858
mcaja_ahorro	0.0387008293575196	0.00402876335226483	0.00481167292207474
Visa_status	0.0274403887683895	0.0131594285126479	0.000698379128165119
ctrx_quarter_rank	0.0205387215887677	0.00490516611857215	0.00359035406663464
mcuentas_saldo	0.020229575432982	0.0154021846523674	0.00653035161965317
mcaja_ahorro_rank	0.0158401601257686	0.00292548833984323	0.00420571922794115
mcuenta_corriente	0.0116510917093455	0.00731240241930144	0.00811775241615288
mtarjeta_visa_consumo	0.0115796954436992	0.00374089587649997	0.00151693545253833
cpayroll_trx	0.0111229048179543	0.00309064956343819	0.000236251958007481
Visa_Finiciomora	0.00962951832497405	0.0159060999853198	0.00141799438738709
cdescubierto_preacordado_rank	0.00959332076616214	0.0186799234264384	0.00220083540043742
ctarjeta_visa_transacciones	0.00954799100125235	0.00403666713270213	0.00159512302597493
mtarjeta_visa_consumo_rank	0.00869569870465297	0.0020240751908911	0.00187408856576721
mpayroll	0.00859183761603244	0.00432348238173593	0.000647701997233994
mprestamos_personales	0.00843775067312697	0.0172197292383371	0.00305028064271151
ctarjeta_visa	0.00812971692128072	0.000482962647124578	0.000138758810882841
ctrx_quarter_lag_1	0.00787351164201463	0.00367200143164615	0.0055245312305059
ctrx_quarter_lag_2	0.00785693379183101	0.00428113986901267	0.00665245937323007
mcuentas_saldo_rank	0.00763718827750306	0.00504501889884104	0.00566497927908644
mprestamos_personales_rank	0.00656868013040327	0.00303527598158777	0.00197930394236707
cliente_edad_rank	0.00640192939362642	0.00494511461724625	0.0125947149544111
cliente_edad	0.00628716236544942	0.00481971392146721	0.0119064712524322
cproductos_rank	0.00567954825750121	0.00344651844995709	0.00626007358802051
mcuenta_corriente_rank	0.0056569165540632	0.00345680976154575	0.0073952413208777
mrentabilidad_annual_lag_2	0.00559801986299144	0.00535931939831445	0.00904514391219246
cliente_edad_lag_2	0.00547797151911699	0.00425151861987443	0.00916773430511156
Visa_Fvencimiento	0.00533776733231674	0.00509720523731793	0.00872298215127317
cliente_edad_lag_1	0.00533150771906778	0.00421060403008458	0.00921286108360737
mpayroll_rank	0.00510522022751913	0.0025468300039653	0.000775601422917309
mrentabilidad_annual	0.00503052472104794	0.00461828085822359	0.00908423769891076
mcuenta_corriente_lag_1	0.0049541100243487	0.00458164474209325	0.00703470973225341
mpasivos_margen_rank	0.00492944427659705	0.00180967983562937	0.0038584602212274
Visa_delinquency	0.00487775625094937	0.000393234338603315	0.000155651187859883
numero_de_cliente	0.00482916078768653	0.00549581043444631	0.0093868525664709
Visa_mpagospesos	0.00478742667067366	0.00349175647565354	0.0034127427887046
mrentabilidad_annual_rank	0.00477249117685895	0.00344001569871242	0.00915759887892534
mcuenta_corriente_lag_2	0.00454329969725103	0.00628687463020106	0.00838199745600803
Master_fechaalta	0.00453166852605935	0.00270015266657876	0.00598617576132133
cliente_antiguedad_rank	0.00444755206857572	0.003416232866366	0.00823599905499217
mrentabilidad_annual_lag_1	0.00440287370040412	0.00351051220230985	0.00787136503195917
internet_rank	0.00440286853459157	0.00728302402999834	0.00574968248364275
Visa_Finiciomora_rank	0.00438151810752301	0.00248315258650108	0.00752386470557432
cdescubierto_preacordado	0.0043023295673075	0.0116902413243842	0.000526800842012596
Visa_Fvencimiento_lag_2	0.00428991330895528	0.00603850319063931	0.00724996687887514
Master_Fvencimiento	0.00428422404811237	0.00389578931140559	0.00770726765561077
Visa_status_rank	0.00422764075264266	0.00415226232282447	0.00180241662345034
ctarjeta_debito_rank	0.0041532114219133	0.00844796767727186	0.00717901889557157
cliente_antiguedad	0.0041148403752007	0.00302912278261784	0.00768892736060712
Master_Finiciomora_rank	0.00408193044824517	0.00271441861824796	0.00714764733832849
mcomisiones_mantenimiento_rank	0.00400476445274955	0.00424707802732169	0.00530830880519976
mcuentas_saldo_lag_1	0.00398200378811273	0.00335686875237754	0.00518571841228066
mactivos_margen	0.00396177024373774	0.00630791568117703	0.00596880074500209
Visa_fechaalta	0.00386690206977117	0.00280527169294612	0.00606388069541572
Visa_Fvencimiento_rank	0.00384513175378385	0.00310310857821434	0.00653493669340408
