max_depth	min_split	min_bucket	min_cp	ganancia_promedio
9	1000	1000	-0.5	65221333
9	1000	700	-0.5	62715333
9	1000	400	-0.5	64820000
9	1000	100	-0.5	65548000
9	1000	50	-0.5	67288667
9	1000	20	-0.5	66761333
9	1000	10	-0.5	69631333
9	800	1000	-0.5	65221333
9	800	700	-0.5	62715333
9	800	400	-0.5	64180667
9	800	100	-0.5	65991333
9	800	50	-0.5	67288667
9	800	20	-0.5	66822000
9	800	10	-0.5	69995333
9	600	1000	-0.5	65221333
9	600	700	-0.5	62715333
9	600	400	-0.5	64180667
9	600	100	-0.5	67167333
9	600	50	-0.5	65944667
9	600	20	-0.5	66616667
9	600	10	-0.5	70158667
9	400	1000	-0.5	65221333
9	400	700	-0.5	62715333
9	400	400	-0.5	64180667
9	400	100	-0.5	67386667
9	400	50	-0.5	66462667
9	400	20	-0.5	66276000
9	400	10	-0.5	68777333
9	200	1000	-0.5	65221333
9	200	700	-0.5	62715333
9	200	400	-0.5	64180667
9	200	100	-0.5	65753333
9	200	50	-0.5	61567333
9	200	20	-0.5	63009333
9	200	10	-0.5	64680000
9	100	1000	-0.5	65221333
9	100	700	-0.5	62715333
9	100	400	-0.5	64180667
9	100	100	-0.5	65753333
9	100	50	-0.5	63597333
9	100	20	-0.5	63219333
9	100	10	-0.5	66047333
9	50	1000	-0.5	65221333
9	50	700	-0.5	62715333
9	50	400	-0.5	64180667
9	50	100	-0.5	65753333
9	50	50	-0.5	63597333
9	50	20	-0.5	61926667
9	50	10	-0.5	64409333
9	20	1000	-0.5	65221333
9	20	700	-0.5	62715333
9	20	400	-0.5	64180667
9	20	100	-0.5	65753333
9	20	50	-0.5	63597333
9	20	20	-0.5	61609333
9	20	10	-0.5	61236000
9	10	1000	-0.5	65221333
9	10	700	-0.5	62715333
9	10	400	-0.5	64180667
9	10	100	-0.5	65753333
9	10	50	-0.5	63597333
9	10	20	-0.5	61609333
9	10	10	-0.5	61236000
11	1000	1000	-0.5	65221333
11	1000	700	-0.5	62715333
11	1000	400	-0.5	64390667
11	1000	100	-0.5	64250667
11	1000	50	-0.5	65930667
11	1000	20	-0.5	66178000
11	1000	10	-0.5	68735333
11	800	1000	-0.5	65221333
11	800	700	-0.5	62715333
11	800	400	-0.5	63616000
11	800	100	-0.5	64516667
11	800	50	-0.5	66537333
11	800	20	-0.5	65986667
11	800	10	-0.5	68898667
11	600	1000	-0.5	65221333
11	600	700	-0.5	62715333
11	600	400	-0.5	63616000
11	600	100	-0.5	65272667
11	600	50	-0.5	64045333
11	600	20	-0.5	63653333
11	600	10	-0.5	67288667
11	400	1000	-0.5	65221333
11	400	700	-0.5	62715333
11	400	400	-0.5	63616000
11	400	100	-0.5	62276667
11	400	50	-0.5	62295333
11	400	20	-0.5	62762000
11	400	10	-0.5	65324000
11	200	1000	-0.5	65221333
11	200	700	-0.5	62715333
11	200	400	-0.5	63616000
11	200	100	-0.5	60116000
11	200	50	-0.5	56732667
11	200	20	-0.5	59719333
11	200	10	-0.5	61007333
11	100	1000	-0.5	65221333
11	100	700	-0.5	62715333
11	100	400	-0.5	63616000
11	100	100	-0.5	60116000
11	100	50	-0.5	56247333
11	100	20	-0.5	58776667
11	100	10	-0.5	61385333
11	50	1000	-0.5	65221333
11	50	700	-0.5	62715333
11	50	400	-0.5	63616000
11	50	100	-0.5	60116000
11	50	50	-0.5	56247333
11	50	20	-0.5	55561333
11	50	10	-0.5	57708000
11	20	1000	-0.5	65221333
11	20	700	-0.5	62715333
11	20	400	-0.5	63616000
11	20	100	-0.5	60116000
11	20	50	-0.5	56247333
11	20	20	-0.5	54912667
11	20	10	-0.5	53083333
11	10	1000	-0.5	65221333
11	10	700	-0.5	62715333
11	10	400	-0.5	63616000
11	10	100	-0.5	60116000
11	10	50	-0.5	56247333
11	10	20	-0.5	54912667
11	10	10	-0.5	53083333
