max_depth	min_split	min_bucket	min_cp	ganancia_promedio
4	1000	1000	-0.5	56798000
4	1000	700	-0.5	57278667
4	1000	400	-0.5	60624667
4	1000	100	-0.5	62197333
4	1000	50	-0.5	61408667
4	1000	20	-0.5	61562667
4	1000	10	-0.5	63317333
4	800	1000	-0.5	56798000
4	800	700	-0.5	57278667
4	800	400	-0.5	60624667
4	800	100	-0.5	62197333
4	800	50	-0.5	61838000
4	800	20	-0.5	61992000
4	800	10	-0.5	63746667
4	600	1000	-0.5	56798000
4	600	700	-0.5	57278667
4	600	400	-0.5	60624667
4	600	100	-0.5	61782000
4	600	50	-0.5	61441333
4	600	20	-0.5	61525333
4	600	10	-0.5	63536667
4	400	1000	-0.5	56798000
4	400	700	-0.5	57278667
4	400	400	-0.5	60624667
4	400	100	-0.5	61782000
4	400	50	-0.5	61441333
4	400	20	-0.5	61525333
4	400	10	-0.5	63905333
4	200	1000	-0.5	56798000
4	200	700	-0.5	57278667
4	200	400	-0.5	60624667
4	200	100	-0.5	61782000
4	200	50	-0.5	61562667
4	200	20	-0.5	61646667
4	200	10	-0.5	64026667
4	100	1000	-0.5	56798000
4	100	700	-0.5	57278667
4	100	400	-0.5	60624667
4	100	100	-0.5	61782000
4	100	50	-0.5	61562667
4	100	20	-0.5	61646667
4	100	10	-0.5	64026667
4	50	1000	-0.5	56798000
4	50	700	-0.5	57278667
4	50	400	-0.5	60624667
4	50	100	-0.5	61782000
4	50	50	-0.5	61562667
4	50	20	-0.5	61646667
4	50	10	-0.5	64026667
4	20	1000	-0.5	56798000
4	20	700	-0.5	57278667
4	20	400	-0.5	60624667
4	20	100	-0.5	61782000
4	20	50	-0.5	61562667
4	20	20	-0.5	61646667
4	20	10	-0.5	64026667
4	10	1000	-0.5	56798000
4	10	700	-0.5	57278667
4	10	400	-0.5	60624667
4	10	100	-0.5	61782000
4	10	50	-0.5	61562667
4	10	20	-0.5	61646667
4	10	10	-0.5	64026667
6	1000	1000	-0.5	65888667
6	1000	700	-0.5	64367333
6	1000	400	-0.5	65221333
6	1000	100	-0.5	70494667
6	1000	50	-0.5	70480667
6	1000	20	-0.5	69281333
6	1000	10	-0.5	69925333
6	800	1000	-0.5	65888667
6	800	700	-0.5	64367333
6	800	400	-0.5	64712667
6	800	100	-0.5	70695333
6	800	50	-0.5	70784000
6	800	20	-0.5	70261333
6	800	10	-0.5	70224000
6	600	1000	-0.5	65888667
6	600	700	-0.5	64367333
6	600	400	-0.5	64712667
