fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230831 194611	-0.604520808249072	4452	539	6	1	5	66962000	1
20230831 194646	-0.552077610777633	5885	2832	20	1	5	52766000	2
20230831 194723	-0.467411431403889	7535	1365	10	1	5	54096000	3
20230831 194741	-0.18189804462163	1060	18	3	1	5	60529000	4
20230831 194801	0.0789787213710953	6880	2426	4	1	5	0	5
20230831 194853	-0.888237787423714	1770	762	19	1	5	67697000	6
20230831 194938	-0.994362467814062	7423	360	5	1	5	53501000	7
20230831 195037	-0.0115290604706387	6416	1165	14	1	5	52598000	8
20230831 195105	-0.528315548237879	4563	1355	4	1	5	58268000	9
20230831 195146	-0.774145358754322	6495	296	6	1	5	52003000	10
20230831 195214	0.0399286592495629	5117	2146	14	1	5	0	11
20230831 195250	-0.989737586051342	7056	1762	9	1	5	55195000	12
20230831 195457	-0.309199116250966	4648	1602	11	1	5	61208000	13
20230831 195543	-0.917787094009691	2821	691	12	1	5	72688000	14
20230831 195603	0.086143401139998	3140	1060	6	1	5	0	15
20230831 195639	-0.660337119393807	6629	1845	13	1	5	54222000	16
20230831 195722	-0.84997805662133	6461	352	20	1	5	52003000	17
20230831 195739	-0.0552801244382862	7155	1434	3	1	5	54096000	18
20230831 195826	-0.179738135436492	562	28	10	1	5	63616000	19
20230831 195902	-0.479275790895917	7874	3792	16	1	5	53221000	20
20230831 195945	-0.71373350333597	3233	991	17	1	5	67942000	21
20230831 200036	-0.159440989952418	7840	130	14	1	5	53501000	22
20230831 200104	-0.971860981898499	4909	1122	4	1	5	57729000	23
20230831 200125	-0.134381347028539	5070	1990	4	1	5	59759000	24
20230831 200154	-0.755987761700526	7689	2766	14	1	5	54096000	25
20230831 200237	-0.357402797890827	1846	578	20	1	5	67389000	26
20230831 200315	-0.477131160302088	5283	767	20	1	5	62475000	27
20230831 200335	-0.439148597931489	5843	2199	4	1	5	54999000	28
20230831 200421	-0.901529963476402	12	5	11	1	5	59752000	29
20230831 200523	-0.779169034186381	2497	702	20	1	5	70259000	30
20230831 200646	-0.988041076838336	3081	153	20	1	5	71456000	31
20230831 200735	-0.856697483832197	2902	1344	20	1	5	67494000	32
20230831 200817	-0.999911512995446	2505	18	8	1	5	70560000	33
20230831 200927	-0.605535266411368	1420	4	15	1	5	63609000	34
20230831 201021	-0.929474741845979	3376	2	11	1	5	65527000	35
20230831 201119	-0.718897906440136	2103	2	12	1	5	69790000	36
20230831 201223	-0.979766724519423	2280	1136	16	1	5	67200000	37
20230831 201336	-0.684951466212012	2706	1	15	1	5	66556000	38
20230831 201400	-0.782543349533821	2461	895	3	1	5	58352000	39
20230831 201459	-0.99958466521563	2791	11	13	1	5	67151000	40
20230831 201523	-0.183457512115723	7993	3972	3	1	5	52801000	41
20230831 201611	-0.379178454682075	4	1	9	1	5	65289000	42
20230831 201704	-0.946888442671614	3200	603	20	1	5	68320000	43
20230831 201756	-0.887357586036726	2310	980	10	1	5	66192000	44
20230831 201851	-0.751542583071699	2296	279	9	1	5	72751000	45
20230831 201921	-0.734413991735367	2262	127	4	1	5	65163000	46
20230831 202019	-0.751136250161948	2300	371	15	1	5	72534000	47
20230831 202109	-0.751936502618718	3002	457	12	1	5	71344000	48
20230831 202206	-0.913997824598573	2345	925	20	1	5	66451000	49
20230831 202253	-0.957509719751528	2250	346	10	1	5	72702000	50
20230831 202336	-0.179949547478984	7996	2002	20	1	5	54096000	51
20230831 202422	-0.999982811035278	2397	626	9	1	5	70168000	52
20230831 202506	-0.257608753624471	5001	2499	19	1	5	60907000	53
