fecha	minsplit	minbucket	maxdepth	cp	ganancia	iteracion
20230910 184757	1029	487	9	-1	6306949	1
20230910 184852	1193	229	9	-1	5527622	2
20230910 184932	1359	260	11	-1	5870620	3
20230910 185039	851	357	10	-1	7146943	4
20230910 185209	1493	306	8	-1	6211283	5
20230910 185249	918	294	8	-1	6178617	6
20230910 185328	1085	224	10	-1	5889286	7
20230910 185513	1281	425	9	-1	6309283	8
20230910 185606	1498	491	7	-1	6134284	9
20230910 185641	1446	379	6	-1	5891619	10
20230910 185831	1155	222	11	-1	5889286	11
20230910 185934	750	358	6	-1	5891619	12
20230910 190016	742	371	10	-1	6647613	13
20230910 190111	899	359	10	-1	6836612	14
20230910 190145	831	346	10	-1	6960277	15
20230910 190222	840	365	10	-1	7058277	16
20230910 190304	860	430	10	-1	6824945	17
20230910 190902	860	358	10	-1	7146943	18
20230910 190937	855	357	11	-1	7146943	19
20230910 210955	857	325	11	-1	6845945	20
20230910 211031	856	380	11	-1	7144609	21
20230910 211103	855	369	11	-1	7144609	22
20230910 211133	855	381	12	-1	7144609	23
