fecha	minsplit	minbucket	maxdepth	corte	cp	ganancia	iteracion
20230903 182606	982	486	8	8169	-1	5282624	1
20230903 182642	1356	461	7	9480	-1	5144959	2
20230903 182720	1091	340	9	8749	-1	4750629	3
20230903 182759	725	212	12	9230	-1	5637288	4
20230903 182838	1149	564	10	9691	-1	5354957	5
20230903 182914	803	359	6	9890	-1	5016626	6
20230903 182952	1432	249	11	9280	-1	4974627	7
20230903 183042	1480	421	6	8468	-1	4960627	8
20230903 183119	1379	654	10	9214	-1	4993293	9
20230903 183203	1068	210	11	9424	-1	5196292	10
20230903 183246	1212	385	11	9519	-1	5007293	11
20230903 183327	1272	350	8	8602	-1	4946627	12
20230903 183410	863	286	12	9489	-1	5210292	13
20230903 183500	1319	509	10	8543	-1	5002626	14
