fecha	minsplit	minbucket	maxdepth	corte	cp	ganancia	iteracion
20230903 182606	982	486	8	8169	-1	5282624	1
20230903 182642	1356	461	7	9480	-1	5144959	2
20230903 182720	1091	340	9	8749	-1	4750629	3
20230903 182759	725	212	12	9230	-1	5637288	4
20230903 182838	1149	564	10	9691	-1	5354957	5
20230903 182914	803	359	6	9890	-1	5016626	6
20230903 182952	1432	249	11	9280	-1	4974627	7
20230903 183042	1480	421	6	8468	-1	4960627	8
20230903 183119	1379	654	10	9214	-1	4993293	9
20230903 183203	1068	210	11	9424	-1	5196292	10
20230903 183246	1212	385	11	9519	-1	5007293	11
20230903 183327	1272	350	8	8602	-1	4946627	12
20230903 183410	863	286	12	9489	-1	5210292	13
20230903 183500	1319	509	10	8543	-1	5002626	14
20230903 210133	982	486	8	8169	-1	4972293	15
20230903 210244	1356	461	7	9480	-1	5144959	16
20230903 210327	1091	340	9	8749	-1	4750629	17
20230903 210410	725	212	12	9230	-1	5637288	18
20230903 210456	1149	564	10	9691	-1	5354957	19
20230903 210528	803	359	6	9890	-1	5016626	20
20230903 210637	1432	249	11	9280	-1	4974627	21
20230903 210714	1480	421	6	8468	-1	4960627	22
20230903 210752	1379	654	10	9214	-1	4993293	23
20230903 210838	1068	210	11	9424	-1	5196292	24
20230903 210943	1212	385	11	9519	-1	5007293	25
20230903 211024	1272	350	8	8602	-1	4946627	26
20230903 211058	863	286	12	9489	-1	5210292	27
20230903 211130	1319	509	10	8543	-1	5002626	28
20230903 211203	1145	387	6	9943	-1	4972293	29
20230903 211242	1323	570	9	9225	-1	5114626	30
20230903 211327	660	200	12	9511	-1	5590622	31
20230904 214617	659	200	12	9503	-1	5786620	32
20230904 214726	554	200	12	9864	-1	5228958	33
20230904 214808	667	200	12	9163	-1	5553289	34
20230904 214855	689	200	12	9433	-1	5555622	35
20230904 214937	648	216	12	9581	-1	5462290	36
20230904 215017	650	201	11	9579	-1	5534622	37
20230904 215112	659	203	12	9977	-1	5263958	38
20230904 215202	561	200	11	9501	-1	5301291	39
20230904 215241	1067	200	12	9510	-1	5438956	40
20230904 215342	1145	484	6	8916	-1	5256958	41
